Natural Gas Feed (kmol/h),Steam Feed (kmol/h),Temperature (°C),Total Annual Cost (TAC) [$/h],Hydrogen Production  Nm^3/h,CO in Tail Gas [frac]
1847.28,6161.67,634.341,8.79E+07,95076.9,0.0815856
1406.52,4096.33,606.793,7.09E+07,78697.7,0.0563622
1741.99,6284.09,646.089,8.87E+07,96637.7,0.0935163
2105.15,4493.63,625.587,9.43E+07,109080,0.0707788
2094.46,5816.18,623.265,8.98E+07,97887.8,0.0699483
1445.49,5776.58,612.167,7.14E+07,73722.5,0.0640114
2158.76,3622.6,619.031,9.42E+07,111405,0.0670311
2011.05,5640.28,605.634,8.12E+07,85860.1,0.0553541
1599.17,6147.54,623.988,7.84E+07,81945.8,0.073459
1552.69,5385.44,601.692,7.10E+07,73676.3,0.0545779
1344.17,4378.11,605.791,6.84E+07,74267.4,0.0571436
1734.01,4907.46,602.232,7.52E+07,80613.8,0.0534415
1292.64,5268.02,616.146,6.88E+07,72393.5,0.0681643
1401.81,5041.72,619.519,7.30E+07,78943.7,0.0696053
1988.66,6395.98,631.663,9.01E+07,96547.1,0.0780859
2385.29,6347.09,620.796,9.39E+07,100696,0.0665242
1999,6168.65,622.587,8.71E+07,93333.7,0.0698795
1432.56,3790.11,607.578,7.24E+07,81519.4,0.0552763
2071.9,3709,622.983,9.47E+07,112411,0.0687881
2240.17,3901.55,618.283,9.47E+07,110492,0.0658691
1727.87,5928,606.203,7.58E+07,78034,0.057577
2109.63,4230.27,640.37,1.04E+08,123785,0.0829283
2081.07,5660.8,605.43,8.23E+07,86909.4,0.0549399
1894.43,4041.97,630.517,9.32E+07,110443,0.0731967
2216.04,5577.24,615.935,8.94E+07,96903,0.0628815
1994.07,5987.34,608.622,8.18E+07,85613.6,0.0580708
1396.73,6136.8,602.883,6.79E+07,66956.6,0.0571404
1930.22,3776.53,608.196,8.33E+07,95827.4,0.0566201
1473.28,4463.45,628.985,7.91E+07,89740.6,0.0749838
1761.31,4423.14,612.765,8.06E+07,90311.2,0.0605757
2362.15,4396.02,620.109,9.67E+07,111675,0.0668233
2177.58,5670.34,602.358,8.24E+07,86895.1,0.0524213
2181.79,5016.51,642.007,1.03E+08,119843,0.0858789
2186.09,5611.29,640.604,1.00E+08,113966,0.0855665
2015.01,5784.88,635.797,9.34E+07,103965,0.0817347
2287.85,4797.39,600.756,8.40E+07,91240.7,0.0509897
1414.15,5053.13,610.36,7.08E+07,75014,0.0619235
1778.73,5459.61,638.305,8.87E+07,99191.7,0.0853678
1606.83,6366.2,639.717,8.31E+07,88072,0.0882113
1201.12,4287.94,632.49,7.15E+07,80408.1,0.0794119
2353.08,4254.74,616.695,9.47E+07,109037,0.0641362
1539.6,5136.57,605.361,7.23E+07,76200.5,0.0574258
2084.79,5706.24,613.751,8.57E+07,92098.2,0.0618327
2305.5,3327.07,644.299,1.14E+08,137967,0.142836
1688.35,5567.89,622.362,8.05E+07,86879.8,0.0711338
1768,5312.42,644.866,9.14E+07,103761,0.0912061
1762.58,4759.16,647.566,9.39E+07,109666,0.0911385
2348.43,5141.8,621.654,9.57E+07,107472,0.067559
1813.66,4091.32,648.457,9.93E+07,119585,0.086637
1628.19,6248.76,635.015,8.22E+07,87332.6,0.0835323
1941.69,5626.51,643.64,9.52E+07,107383,0.0895517
2213.72,5829.7,617.54,8.98E+07,97217.8,0.0647204
1819.48,5413.83,606.715,7.80E+07,83011.1,0.0572289
1430.67,5578.52,611.026,7.08E+07,73410.1,0.0631096
1498.61,4570.12,638.575,8.28E+07,94714.1,0.083873
2323.77,5432.16,639.387,1.04E+08,118871,0.0840865
1947.36,5273.14,649.316,9.87E+07,114060,0.094454
1563.16,3718.45,623.58,8.22E+07,96483.7,0.065469
2060.68,3805.48,632.576,1.00E+08,120076,0.0762758
1932.85,5592.91,641.661,9.40E+07,105620,0.087682
1474.43,6057.7,631.239,7.70E+07,81100.1,0.0809451
1697.37,5860.64,623.521,8.08E+07,86304,0.0722753
1330.59,5938.86,625.718,7.16E+07,74352.7,0.0768172
2174.77,3630.38,645.119,1.11E+08,136789,0.0957138
1271.45,5742.6,628.445,7.07E+07,73894.3,0.0794912
2076.27,4653.92,611.64,8.61E+07,96471,0.0596144
2324.64,5535.58,618.939,9.30E+07,102254,0.0655536
1404.35,4047.62,602.329,6.93E+07,76615.6,0.0531451
1787.16,4522.64,646.974,9.54E+07,112335,0.0889553
2268.39,5670.46,633.683,9.88E+07,110886,0.078729
2291.33,6103.96,646.706,1.05E+08,117686,0.091444
2083.38,5233.43,609.405,8.45E+07,91922.8,0.0580647
1494.69,4820.65,645.674,8.41E+07,95963.6,0.0919477
1963.8,4911.17,635.518,9.42E+07,108451,0.0804219
1842.94,3506.51,647.684,1.03E+08,127100,0.085432
1442.1,4690.82,604.744,7.00E+07,75244.4,0.056763
1502.77,4569.24,648.188,8.59E+07,99440.4,0.092197
1814.98,6145.79,647.525,9.17E+07,101150,0.0945543
1241.56,4113.03,615.877,6.90E+07,76254.7,0.0639747
1221.26,6203.95,644.361,7.22E+07,74999,0.0936444
1580.18,5067.75,634.122,8.25E+07,92192,0.0817093
